symbol,company_name,isin,series,exchange_primary,nse_symbol,tags,bse_symbol,bse_code,paired_nse_symbol,include_flag,yahoo_ticker_ns,yahoo_ticker_bo,priority
DOMS,DOMS Industries Ltd.,INE321T01012,EQ,NSE,DOMS,NIFTY500,,,,YES,DOMS.NS,,1
DRREDDY,Dr. Reddy's Laboratories Ltd.,INE089A01031,EQ,NSE,DRREDDY,"NIFTY50, NIFTY500",,,,YES,DRREDDY.NS,,1
ECLERX,eClerx Services Ltd.,INE738I01010,EQ,NSE,ECLERX,NIFTY500,,,,YES,ECLERX.NS,,1
EICHERMOT,Eicher Motors Ltd.,INE066A01021,EQ,NSE,EICHERMOT,"NIFTY50, NIFTY500",,,,YES,EICHERMOT.NS,,1
EIDPARRY,E.I.D. Parry (India) Ltd.,INE126A01031,EQ,NSE,EIDPARRY,NIFTY500,,,,YES,EIDPARRY.NS,,1
EIHOTEL,EIH Ltd.,INE230A01023,EQ,NSE,EIHOTEL,NIFTY500,,,,YES,EIHOTEL.NS,,1
ELECON,Elecon Engineering Co. Ltd.,INE205B01031,EQ,NSE,ELECON,NIFTY500,,,,YES,ELECON.NS,,1
ELGIEQUIP,Elgi Equipments Ltd.,INE285A01027,EQ,NSE,ELGIEQUIP,NIFTY500,,,,YES,ELGIEQUIP.NS,,1
EMAMILTD,Emami Ltd.,INE548C01032,EQ,NSE,EMAMILTD,NIFTY500,,,,YES,EMAMILTD.NS,,1
EMCURE,Emcure Pharmaceuticals Ltd.,INE168P01015,EQ,NSE,EMCURE,NIFTY500,,,,YES,EMCURE.NS,,1
EMMVEE,Emmvee Photovoltaic Power Ltd.,INE1C6T01020,EQ,NSE,EMMVEE,NIFTY500,,,,YES,EMMVEE.NS,,1
ENDURANCE,Endurance Technologies Ltd.,INE913H01037,EQ,NSE,ENDURANCE,NIFTY500,,,,YES,ENDURANCE.NS,,1
ENGINERSIN,Engineers India Ltd.,INE510A01028,EQ,NSE,ENGINERSIN,"NIFTY500, PSU",,,,YES,ENGINERSIN.NS,,1
ENRIN,Siemens Energy India Ltd.,INE1NPP01017,EQ,NSE,ENRIN,NIFTY500,,,,YES,ENRIN.NS,,1
ERIS,Eris Lifesciences Ltd.,INE406M01024,EQ,NSE,ERIS,NIFTY500,,,,YES,ERIS.NS,,1
ESCORTS,Escorts Kubota Ltd.,INE042A01014,EQ,NSE,ESCORTS,NIFTY500,,,,YES,ESCORTS.NS,,1
ETERNAL,Eternal Ltd.,INE758T01015,EQ,NSE,ETERNAL,"NIFTY50, NIFTY500",,,,YES,ETERNAL.NS,,1
EXIDEIND,Exide Industries Ltd.,INE302A01020,EQ,NSE,EXIDEIND,NIFTY500,,,,YES,EXIDEIND.NS,,1
FACT,Fertilisers and Chemicals Travancore Ltd.,INE188A01015,EQ,NSE,FACT,"NIFTY500, PSU",,,,YES,FACT.NS,,1
FEDERALBNK,Federal Bank Ltd.,INE171A01029,EQ,NSE,FEDERALBNK,"NIFTY500, NIFTYBANK",,,,YES,FEDERALBNK.NS,,1
FINCABLES,Finolex Cables Ltd.,INE235A01022,EQ,NSE,FINCABLES,NIFTY500,,,,YES,FINCABLES.NS,,1
FIRSTCRY,Brainbees Solutions Ltd.,INE02RE01045,EQ,NSE,FIRSTCRY,NIFTY500,,,,YES,FIRSTCRY.NS,,1
FIVESTAR,Five-Star Business Finance Ltd.,INE128S01021,EQ,NSE,FIVESTAR,NIFTY500,,,,YES,FIVESTAR.NS,,1
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,INE09N301011,EQ,NSE,FLUOROCHEM,NIFTY500,,,,YES,FLUOROCHEM.NS,,1
FORCEMOT,Force Motors Ltd.,INE451A01017,EQ,NSE,FORCEMOT,NIFTY500,,,,YES,FORCEMOT.NS,,1
FORTIS,Fortis Healthcare Ltd.,INE061F01013,EQ,NSE,FORTIS,NIFTY500,,,,YES,FORTIS.NS,,1
FSL,Firstsource Solutions Ltd.,INE684F01012,EQ,NSE,FSL,NIFTY500,,,,YES,FSL.NS,,1
GABRIEL,Gabriel India Ltd.,INE524A01029,EQ,NSE,GABRIEL,NIFTY500,,,,YES,GABRIEL.NS,,1
GAIL,GAIL (India) Ltd.,INE129A01019,EQ,NSE,GAIL,"NIFTY500, PSU",,,,YES,GAIL.NS,,1
GALLANTT,Gallantt Ispat Ltd.,INE297H01019,EQ,NSE,GALLANTT,NIFTY500,,,,YES,GALLANTT.NS,,1
GESHIP,Great Eastern Shipping Co. Ltd.,INE017A01032,EQ,NSE,GESHIP,NIFTY500,,,,YES,GESHIP.NS,,1
GICRE,General Insurance Corporation of India,INE481Y01014,EQ,NSE,GICRE,NIFTY500,,,,YES,GICRE.NS,,1
GILLETTE,Gillette India Ltd.,INE322A01010,EQ,NSE,GILLETTE,NIFTY500,,,,YES,GILLETTE.NS,,1
GLAND,Gland Pharma Ltd.,INE068V01023,EQ,NSE,GLAND,NIFTY500,,,,YES,GLAND.NS,,1
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,INE159A01016,EQ,NSE,GLAXO,NIFTY500,,,,YES,GLAXO.NS,,1
